ALL abundances NOT listed below differ from solar by   0.40 dex
OH NO! ANOTHER FAILED ITERATION!
OH NO! ANOTHER FAILED ITERATION!
 NGC4349No53.ares                                                               
          Teff= 4706          log g= 0.00             vt= 2.48 M/H= 0.40        

Abundance Results for Species Fe I         (input abundance =   7.87)
wavelength        EP     logGF        EW     logRW     abund     del avg
   5930.19      4.65    -0.326     107.4     -4.74      6.81       -0.10
   5934.66      3.93    -1.091     103.4     -4.76      6.66       -0.25
   5956.70      0.86    -4.526     120.1     -4.70      6.35       -0.56
   5983.69      4.55    -0.719      89.7     -4.82      6.88       -0.03
   5987.07      4.79    -0.478      93.8     -4.81      6.97        0.06
   6005.55      2.59    -3.479      66.1     -4.96      6.98        0.07
   6056.01      4.73    -0.489      91.2     -4.82      6.87       -0.04
   6078.49      4.79    -0.364      91.6     -4.82      6.82       -0.09
   6079.01      4.65    -1.008      64.4     -4.97      6.97        0.06
   6094.38      4.65    -1.566      39.4     -5.19      7.20        0.29
   6096.67      3.98    -1.776      67.6     -4.96      6.98        0.07
   6120.25      0.92    -5.894      41.0     -5.17      6.97        0.05
   6127.91      4.14    -1.417      75.7     -4.91      6.91       -0.00
   6151.62      2.18    -3.298      93.5     -4.82      6.56       -0.36
   6157.73      4.08    -1.238     104.0     -4.77      6.97        0.06
   6159.38      4.61    -1.878      31.5     -5.29      7.34        0.42
   6173.34      2.22    -2.877     113.3     -4.74      6.39       -0.52
   6200.32      2.61    -2.397     121.2     -4.71      6.49       -0.42
   6219.29      2.20    -2.463     146.7     -4.63      6.32       -0.60
   6226.74      3.88    -2.069      57.6     -5.03      7.03        0.12
   6232.65      3.65    -1.240     116.9     -4.73      6.59       -0.32
   6240.65      2.22    -3.292     102.2     -4.79      6.68       -0.23
   6270.23      2.86    -2.573      99.4     -4.80      6.73       -0.18
   6315.81      4.08    -1.645      70.2     -4.95      6.98        0.07
   6322.69      2.59    -2.368     125.8     -4.70      6.46       -0.45
   6335.34      2.20    -2.339     156.4     -4.61      6.28       -0.63
   6358.68      0.86    -3.907     163.9     -4.59      6.11       -0.80
   6392.54      2.28    -3.942      59.4     -5.03      6.95        0.04
   6481.88      2.28    -2.929     124.1     -4.72      6.58       -0.33
   6593.88      2.43    -2.384     142.9     -4.66      6.42       -0.49
   6609.12      2.56    -2.632     120.8     -4.74      6.59       -0.32
   6627.55      4.55    -1.475      48.1     -5.14      7.08        0.17
   6646.94      2.61    -3.915      44.0     -5.18      7.12        0.21
   6699.15      4.59    -2.106      21.7     -5.49      7.30        0.39
   6705.11      4.61    -1.057      73.5     -4.96      7.03        0.12
   6713.74      4.79    -1.425      37.0     -5.26      7.14        0.23
   6725.36      4.10    -2.187      39.5     -5.23      7.13        0.22
   6726.67      4.61    -1.045      68.4     -4.99      6.95        0.04
   6732.07      4.58    -2.144      17.7     -5.58      7.23        0.32
   6739.52      1.56    -4.902      57.9     -5.07      6.94        0.03
   6839.84      2.56    -3.377      80.2     -4.93      6.90       -0.01
   6842.69      4.64    -1.169      58.9     -5.07      7.00        0.09
   6855.72      4.61    -1.674      46.3     -5.17      7.31        0.40
   6857.25      4.08    -2.075      45.8     -5.18      7.07        0.16
   6858.15      4.61    -0.972      74.2     -4.97      6.94        0.03
   6861.94      2.42    -3.795      66.5     -5.01      7.01        0.10
   6864.32      4.56    -2.229      16.3     -5.62      7.24        0.33
average abundance =  6.91     std. deviation =  0.28     #lines = 109
E.P. correlation:  slope =   0.168  intercept =   6.293  corr. coeff. =   0.664
R.W. correlation:  slope =  -1.026  intercept =   1.859  corr. coeff. =  -0.813
wav. correl.:  slope =  -6.945D-06  intercept =   6.951  corr. coeff. =  -0.017

Abundance Results for Species Fe II        (input abundance =   7.87)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4508.28      2.86    -2.403      99.3     -4.66      5.60       -0.38
   4520.22      2.81    -2.563     111.1     -4.61      5.90       -0.08
   4576.34      2.84    -2.947      89.8     -4.71      5.95       -0.03
   4656.98      2.89    -3.676      53.1     -4.94      6.14        0.16
   4731.47      2.89    -2.515     111.4     -4.63      5.92       -0.06
   5197.57      3.23    -2.293     112.3     -4.67      6.04        0.06
   5234.63      3.22    -2.235     100.8     -4.72      5.78       -0.20
   5264.81      3.23    -3.091      60.8     -4.94      6.03        0.05
   5414.07      3.22    -3.568      42.5     -5.11      6.19        0.21
   5991.38      3.15    -3.539      51.1     -5.07      6.22        0.24
   6149.25      3.89    -2.719      45.2     -5.13      6.11        0.13
   6247.56      3.89    -2.347      58.9     -5.03      5.96       -0.02
   6516.09      2.89    -3.279      69.0     -4.98      5.91       -0.07
average abundance =  5.98     std. deviation =  0.17     #lines =  13
 No statistics done for E.P. trends
R.W. correlation:  slope =  -0.584  intercept =   3.145  corr. coeff. =  -0.676
wav. correl.:  slope =   8.324D-05  intercept =   5.539  corr. coeff. =   0.347
